ECE Drive Cycle																																		
BPM																																		
Universal_Format																																		
Duty_Cycle_Definition=0																																		
Duty_Cycle_Input_Type=1																																		
Duty_Cycle_Drive_Type=0																																		
Duty_Cycle_DC_Bus_Voltage_Definition=0																																		
Duty_Cycle_Data=																																		
Period	Elapsed Time	Time	Points	Torque [Start]	Torque [End]	Current [Start]	Current [End]	Armature Copper DC	Armature Copper AC	Aux Armature Copper	Field Copper	Stator Back Iron	Stator Tooth	Magnet	Rotor Back Iron	Embedded Magnet Pole	Rotor Tooth	Stray Load Stator Iron	Stray Load Rotor Iron	Stray Load Armature Copper	Stray Load Field Copper	Friction Front Bearing	Friction Rear Bearing	Brush Friction	Brush Electrical	Windage	Windage Exterior Fan	Encoder	Speed [Start]	Speed [End]	Fault	Ambient Temp [End]	Altitude [End]	DC Bus Voltage
28	28	1	1	-56.28484848	-54.40606061	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5981.617647	6200.727273	0	0	0	0
29	29	1	1	-54.40606061	-52.44545455	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6200.727273	6411.212121	0	0	0	0
30	30	1	1	-52.44545455	-50.4030303	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6411.212121	6613.242424	0	0	0	0
31	31	1	1	-50.4030303	-47.74411765	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6613.242424	6802.090909	0	0	0	0
32	32	1	1	-47.74411765	-46.25151515	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6802.090909	6979.411765	0	0	0	0
33	33	1	1	-46.25151515	-44.98484848	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6979.411765	7143.666667	0	0	0	0
34	34	1	1	-44.98484848	-43.05757576	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7143.666667	7296.545455	0	0	0	0
35	35	1	1	-43.05757576	-42.11515152	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7296.545455	7442.969697	0	0	0	0
36	36	1	1	-42.11515152	-41.13636364	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7442.969697	7580.393939	0	0	0	0
37	37	1	1	-41.13636364	-39.44848485	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7580.393939	7709.787879	0	0	0	0
