Temperature Data
,3,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,3,40,
,4,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,4,40,
,5,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,5,40,
,6,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,6,40,
,7,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,7,40,
,8,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,8,40,
,9,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,9,40,
,10,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,10,40,
,11,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,11,40,
,12,12,40,12,40.00000003,12,40.00000251,12,40.00000104,12,40.00000181,12,40.00000251,12,40.00000104,12,40.00000181,12,40.00226029,12,40.00082929,12,40.0000263,12,40.00002632,12,40.00001292,12,40.00000018,12,40.00000004,12,40.00000011,12,40.00000165,12,40.00000261,12,40.00450873,12,40.00450874,12,40.00000001,12,40.00016611,12,40.00000139,12,40.00000139,12,40.00000214,12,40.00000214,12,40.00000245,12,40.00000245,12,40,12,40.03791309,12,40.0398228,12,40.0398892,12,40.04006627,12,40.04000725,12,40.03791309,12,40.0398228,12,40.04006627,12,40.0398892,12,40.04000725,12,40.03526577,12,40.05048859,12,40.02171411,12,40.02082471,12,40.04037614,12,40.04037614,12,40.0408971,12,40.00564858,12,40.04065397,12,40.03974512,12,40.0399677,12,40.04014516,12,40.04008601,12,40.04065397,12,40.03974512,12,40.04014516,12,40.0399677,12,40.04008601,12,40.05139579,12,40.02240023,12,40.04690557,12,40.04076779,12,40.04076779,12,40.04173061,12,40.00621127,12,40.03975081,12,40.03990494,12,40.03995489,12,40.04007315,12,40.04003373,12,40.03975081,12,40.03990494,12,40.04007315,12,40.03995489,12,40.04003373,12,40.04846896,12,40.02502721,12,40.03943612,12,40.0402913,12,40.0402913,12,40.04065505,12,40.00539502,12,40.04075322,12,40.03726177,12,40.0398595,12,40.03989605,12,40.04001411,12,40.03997476,12,40.04075322,12,40.03726178,12,40.0398595,12,40.04001411,12,40.03989605,12,40.03997476,12,40.0485657,12,40.02446106,12,40.04221393,12,40.04020528,12,40.04020528,12,40.04053082,12,40.00427372,12,40.0405687,12,40.02082471,12,40.05139579,
,13,13,40,13,40.00000011,13,40.00001042,13,40.00000521,13,40.00000866,13,40.00001042,13,40.00000521,13,40.00000866,13,40.0073587,13,40.00324737,13,40.00011292,13,40.00011229,13,40.000042,13,40.00000083,13,40.00000026,13,40.00000062,13,40.00000785,13,40.00001234,13,40.01365618,13,40.01365626,13,40.00000002,13,40.00054226,13,40.00000694,13,40.00000694,13,40.00001065,13,40.00001065,13,40.00001284,13,40.00001284,13,40,13,40.08098693,13,40.08550959,13,40.0852525,13,40.08565874,13,40.08552333,13,40.08098694,13,40.08550958,13,40.08565874,13,40.0852525,13,40.08552333,13,40.07401863,13,40.10415165,13,40.04846563,13,40.04479987,13,40.08555082,13,40.08555082,13,40.08558964,13,40.01737471,13,40.08699852,13,40.08532245,13,40.08554768,13,40.08595559,13,40.08581962,13,40.08699852,13,40.08532245,13,40.08595559,13,40.08554767,13,40.08581962,13,40.10692363,13,40.05080725,13,40.09832226,13,40.08681396,13,40.08681396,13,40.08821817,13,40.01947605,13,40.08504784,13,40.08572547,13,40.08543103,13,40.08570253,13,40.08561203,13,40.08504784,13,40.08572547,13,40.08570253,13,40.08543103,13,40.08561203,13,40.10015675,13,40.05488081,13,40.08333453,13,40.08538516,13,40.08538516,13,40.08506477,13,40.01696275,13,40.08728742,13,40.078842,13,40.08553685,13,40.08522065,13,40.08549136,13,40.08540112,13,40.08728742,13,40.078842,13,40.08553685,13,40.08549136,13,40.08522065,13,40.08540112,13,40.10066681,13,40.05290534,13,40.08802003,13,40.08512967,13,40.08512967,13,40.08474632,13,40.01290568,13,40.08577385,13,40.04479987,13,40.10692363,
,14,14,40,14,40.00000023,14,40.00002564,14,40.00001489,14,40.00002395,14,40.00002564,14,40.00001489,14,40.00002395,14,40.01562804,14,40.00776959,14,40.00029512,14,40.00029385,14,40.00009367,14,40.00000234,14,40.00000087,14,40.00000205,14,40.00002161,14,40.00003387,14,40.02602001,14,40.02602028,14,40.00000004,14,40.00116376,14,40.00001978,14,40.00001978,14,40.00003061,14,40.00003061,14,40.00003889,14,40.00003889,14,40,14,40.12527475,14,40.13290585,14,40.13198969,14,40.13266069,14,40.13243702,14,40.12527477,14,40.13290584,14,40.13266068,14,40.13198969,14,40.13243702,14,40.11341146,14,40.15611578,14,40.07829409,14,40.07023084,14,40.13149937,14,40.13149937,14,40.13017522,14,40.03484425,14,40.13489502,14,40.1326481,14,40.132682,14,40.13335736,14,40.13313224,14,40.13489501,14,40.1326481,14,40.13335736,14,40.13268199,14,40.13313224,14,40.16156292,14,40.08327796,14,40.14966016,14,40.13410052,14,40.13410052,14,40.13546793,14,40.03956947,14,40.13185295,14,40.13325815,14,40.13234281,14,40.13279162,14,40.13264201,14,40.13185295,14,40.13325815,14,40.13279161,14,40.1323428,14,40.13264201,14,40.1507715,14,40.0874655,14,40.12805798,14,40.13140973,14,40.13140973,14,40.1296695,14,40.03444748,14,40.13541383,14,40.12094191,14,40.13277768,14,40.1318768,14,40.13232366,14,40.13217471,14,40.13541382,14,40.12094193,14,40.13277767,14,40.13232365,14,40.1318768,14,40.1321747,14,40.15225662,14,40.08328393,14,40.13383406,14,40.13096876,14,40.13096876,14,40.12926573,14,40.02552012,14,40.13174649,14,40.07023084,14,40.16156292,
